"Address","C.SH","jensiat","sen","savad","m.t.s","v.f.s","N.T.M","T.O","S.Z","M.O.B","OTO","MO","DO","ZABT","TV","PC","TEL.H","OJAGH.GAZ","JAROO.B","MASHIN.L","CHARKH.KH","PANKE","MASHIN.Z","H.KHORAKI.NOOSHIDANI","H.ERTEBATAT","H.BEHDASHT","H.HAMLONAGHL","H.KALA.MOT","H.MASKAN","H.MOBLEMAN","H.POOSHAK","KHARID.KALA.BADAVAM","H.SARMAYEGOZARI","M.DARAMAD.NAKH","HOOGHOOGH.MOSTAMAR","GH.MOSTAMAR","M.DARAMAD.KH","DARYAFTI.NAKH.F","DARAMAD.M.KH.1","DARAMAD.M.KH.2","DARAMAD.M.KH.3","DARAMAD.M.KH.4","M.INCOME","DAHAK","DAHAK10"
12301275326,23,1,31,1,7,1,4,3,42,0,1,0,0,0,1,1,1,1,1,1,0,0,0,6580000,1100000,0,5650000,8100000,49150000,0,3e+05,48700000,0,4e+08,0,4.5e+07,8.6e+07,4.6e+08,0,0,0,0,9.91e+08,5,0
12301276823,23,1,31,1,6,1,1,3,50,0,0,0,0,0,0,1,1,1,0,1,0,0,1,8855500,1735000,250000,0,470000,20800000,1200000,5950000,436126000,0,0,0,1.35e+08,0,0,0,0,0,0,1.35e+08,1,0
12301279023,23,2,31,1,2,3,4,3,45,0,0,0,0,0,1,0,1,1,1,1,0,0,0,5215000,250000,0,650000,1620000,38055000,2100000,0,175235000,0,2.88e+08,0,7.5e+07,238800000,0,0,0,6.63e+08,34600000,1299400000,6,0
12301279723,23,1,31,1,4,1,1,3,68,0,1,0,0,0,1,0,1,1,1,1,0,0,0,16330000,3e+06,0,8e+05,1950000,40810000,8e+05,2500000,9500000,0,0,0,79365000,9.33e+08,0,0,0,5.55e+08,7920000,1575285000,7,0
12301279828,23,1,31,1,4,1,3,3,65,0,1,0,1,0,1,0,1,1,1,1,0,0,0,7280280,1300000,50000,1350000,0,40800000,370000,0,61499999,0,0,0,0,0,0,0,0,0,30640000,30640000,1,0
12301281635,23,1,31,1,6,1,1,4,85,0,1,0,0,0,1,1,1,1,1,1,1,0,0,30372500,1500000,1800000,2400000,1400000,45950000,1320000,2450000,13500000,0,5.5e+08,0,3e+07,8.7e+08,0,0,3900000,0,20640000,1474540000,7,0
12301281821,23,1,31,1,2,1,3,3,64,0,0,0,0,0,1,0,1,1,0,1,0,0,0,17290000,350000,0,7e+05,1500000,23125000,2800000,2250000,21057552,0,4.8e+07,4.8e+08,0,7.3e+08,0,0,0,0,26560000,1284560000,6,0
12301284023,23,1,31,1,5,1,1,3,43,0,1,0,0,0,1,0,1,1,1,1,0,0,0,23908000,460000,0,6e+05,570000,28910000,1870000,9100000,306700000,0,5e+08,0,0,9.6e+08,0,0,0,0,22360000,1482360000,7,0
12309288025,23,1,31,1,2,1,4,3,50,0,0,0,0,0,1,0,1,1,1,1,0,0,0,14876500,1200000,0,3300000,350000,16480000,1020000,9020000,67860000,0,0,0,1.5e+07,0,0,0,0,0,1e+07,2.5e+07,1,0
12310289425,23,1,31,1,4,1,1,4,75,0,0,0,0,0,1,0,1,1,1,1,0,0,0,18973000,790000,0,2650000,3200000,61270000,3420000,2e+05,3180000,0,2.52e+08,1.2e+08,0,0,0,0,0,0,90640000,462640000,2,0
